Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Arron Afflalo\afflaar01,2008,2018,G-F,6-5,210,October 15 1985,University of California Los Angeles
Maurice Ager\agerma01,2007,2011,G,6-5,202,February 9 1984,Michigan State University
Mark Aguirre\aguirma01,1982,1994,F-G,6-6,232,December 10 1959,DePaul University
Blake Ahearn\ahearbl01,2008,2012,G,6-2,190,May 27 1984,Missouri State University
Danny Ainge\aingeda01,1982,1995,G,6-4,175,March 17 1959,Brigham Young University
Matthew Aitch\aitchma01,1968,1968,F,6-7,230,September 21 1944,Michigan State University
Alexis Ajinca\ajincal01,2009,2017,C-F,7-2,248,May 6 1988,
Henry Akin\akinhe01,1967,1969,C-F,6-10,225,July 31 1944,Morehead State University
Josh Akognon\akognjo01,2013,2013,G,5-11,185,February 10 1986,Washington State University California State University Fullerton
DeVaughn Akoon-Purcell\akoonde01,2019,2019,G,6-6,200,June 5 1993,Illinois State University
Solomon Alabi\alabiso01,2011,2012,C,7-1,251,March 21 1988,Florida State University
Mark Alarie\alarima01,1987,1991,F,6-8,217,December 11 1963,Duke University
Gary Alcorn\alcorga01,1960,1961,C,6-9,225,October 8 1936,California State University Fresno
Furkan Aldemir\aldemfu01,2015,2015,F-C,6-10,240,August 9 1991,
Cole Aldrich\aldrico01,2011,2018,C,6-11,250,October 31 1988,University of Kansas
LaMarcus Aldridge\aldrila01,2007,2019,F-C,6-11,260,July 19 1985,University of Texas at Austin
Chuck Aleksinas\aleksch01,1985,1985,C,6-11,260,February 26 1959,University of Kentucky University of Connecticut
Cliff Alexander\alexacl01,2016,2016,F,6-8,245,November 16 1995,University of Kansas
Cory Alexander\alexaco01,1996,2005,G,6-1,185,June 22 1973,University of Virginia
Courtney Alexander\alexaco02,2001,2003,G,6-5,205,April 27 1977,University of Virginia California State University Fresno
Gary Alexander\alexaga01,1994,1994,F,6-7,240,November 1 1969,University of South Florida
Joe Alexander\alexajo01,2009,2010,F,6-8,230,December 26 1986,West Virginia University
Victor Alexander\alexavi01,1992,2002,C-F,6-9,265,August 31 1969,Iowa State University
Steve Alford\alforst01,1988,1991,G,6-2,183,November 23 1964,Indiana University
Rawle Alkins\alkinra01,2019,2019,G,6-5,225,October 29 1997,University of Arizona
Bill Allen\allenbi01,1968,1968,C-F,6-8,205,,New Mexico State University
Bob Allen\allenbo01,1969,1969,F,6-9,205,July 17 1946,Marshall University
Grayson Allen\allengr01,2019,2019,G,6-5,198,October 8 1995,Duke University
Jarrett Allen\allenja01,2018,2019,C-F,6-11,237,April 21 1998,University of Texas at Austin
Jerome Allen\allenje01,1996,1997,G,6-4,184,January 28 1973,University of Pennsylvania
Kadeem Allen\allenka01,2018,2019,G,6-3,192,January 15 1993,University of Arizona
Lavoy Allen\allenla01,2012,2017,F-C,6-9,260,February 4 1989,Temple University
Lucius Allen\allenlu01,1970,1979,G,6-2,175,September 26 1947,University of California Los Angeles
Malik Allen\allenma01,2002,2011,F-C,6-10,255,June 27 1978,Villanova University
Randy Allen\allenra01,1989,1990,F,6-8,220,January 26 1965,Florida State University
Ray Allen*\allenra02,1997,2014,G,6-5,205,July 20 1975,University of Connecticut
Tony Allen\allento01,2005,2018,G-F,6-4,213,January 11 1982,Butler County Community College Oklahoma State University
Willie Allen\allenwi01,1972,1972,F,6-6,230,February 8 1949,University of Miami
Odis Allison\allisod01,1972,1972,F,6-6,195,October 2 1949,University of Nevada Las Vegas
Lance Allred\allrela01,2008,2008,C,6-11,250,February 2 1981,University of Utah Weber State University
Darrell Allums\allumda01,1981,1981,F,6-9,220,September 12 1958,University of California Los Angeles
Morris Almond\almonmo01,2008,2012,G,6-6,225,February 2 1985,Rice University
Derrick Alston\alstode01,1995,1997,F,6-11,225,August 20 1972,Duquesne University
Rafer Alston\alstora01,2000,2010,G,6-2,171,July 24 1976,California State University Fresno
Peter Aluma\alumape01,1999,1999,C,6-10,260,April 23 1973,Liberty University
John Amaechi\amaecjo01,1996,2003,C-F,6-10,270,November 26 1970,Vanderbilt University Pennsylvania State University
Ashraf Amaya\amayaas01,1996,1997,F,6-8,230,November 23 1971,Southern Illinois University
Al-Farouq Aminu\aminual01,2011,2019,F,6-9,220,September 21 1990,Wake Forest University
Lou Amundson\amundlo01,2007,2016,F-C,6-9,220,December 7 1982,University of Nevada Las Vegas
Bob Anderegg\anderbo01,1960,1960,F-G,6-3,200,August 24 1937,Michigan State University
Chris Andersen\anderch01,2002,2017,C-F,6-10,245,July 7 1978,Blinn College
David Andersen\anderda03,2010,2011,C,6-11,245,June 23 1980,
Alan Anderson\anderal01,2006,2017,G-F,6-6,220,October 16 1982,Michigan State University
Andrew Anderson\anderan01,1968,1970,G,6-2,184,July 6 1945,Canisius College
Antonio Anderson\anderan02,2010,2010,G,6-6,215,June 5 1985,University of Memphis
Cliff Anderson\andercl01,1968,1971,G-F,6-2,200,September 7 1944,Saint Joseph's University
Dan Anderson\anderda01,1968,1969,C,6-10,230,February 15 1943,Augsburg College
Dan Anderson\anderda02,1975,1976,G,6-2,185,January 1 1951,University of Southern California
Derek Anderson\anderde01,1998,2008,G,6-5,194,July 18 1974,Ohio State University University of Kentucky
Dwight Anderson\anderdw01,1983,1983,G,6-3,185,December 28 1960,University of Kentucky University of Southern California
Eric Anderson\anderer01,1993,1994,F,6-9,220,May 26 1970,Indiana University
Greg Anderson\andergr01,1988,1998,F-C,6-10,230,June 22 1964,University of Houston
J.J. Anderson\anderjj01,1983,1985,F,6-8,195,September 23 1960,Bradley University
James Anderson\anderja01,2011,2016,G-F,6-6,213,March 25 1989,Oklahoma State University
Jerome Anderson\anderje01,1976,1977,G,6-5,195,October 9 1953,West Virginia University
Justin Anderson\anderju01,2016,2019,G,6-6,230,November 19 1993,University of Virginia
Kenny Anderson\anderke01,1992,2005,G,6-0,168,October 9 1970,Georgia Institute of Technology
Kim Anderson\anderki01,1979,1979,F,6-7,200,May 12 1955,University of Missouri
Kyle Anderson\anderky01,2015,2019,F-G,6-9,230,September 20 1993,University of California Los Angeles
Michael Anderson\andermi01,1989,1989,G,5-11,184,March 23 1966,Drexel University
Nick Anderson\anderni01,1990,2002,F-G,6-6,205,January 20 1968,University of Illinois at Urbana-Champaign
Richard Anderson\anderri01,1983,1990,F-C,6-10,240,November 19 1960,University of California Santa Barbara
Ron Anderson\anderro01,1985,1994,F-G,6-7,215,October 15 1958,California State University Fresno
Ryan Anderson\anderry01,2009,2019,F,6-10,240,May 6 1988,University of California
Shandon Anderson\andersh01,1997,2006,F-G,6-6,208,December 31 1973,University of Georgia
Willie Anderson\anderwi01,1989,1997,G-F,6-7,190,January 8 1967,University of Georgia
Wally Anderzunas\anderwa01,1970,1970,C-F,6-7,220,January 11 1946,Creighton University
Martynas Andriuskevicius\andrima01,2006,2006,C,7-2,240,March 12 1986,
Don Anielak\anieldo01,1955,1955,F,6-7,190,November 1 1930,Missouri State University
Ike Anigbogu\anigbik01,2018,2019,F-C,6-10,250,October 17 1998,University of California Los Angeles
Michael Ansley\anslemi01,1990,1992,F,6-7,225,February 8 1967,University of Alabama
Chris Anstey\anstech01,1998,2000,C,7-0,249,January 1 1975,
Giannis Antetokounmpo\antetgi01,2014,2019,F-G,6-11,242,December 6 1994,
Kostas Antetokounmpo\antetko01,2019,2019,F,6-10,200,November 20 1997,University of Dayton
Thanasis Antetokounmpo\antetth01,2016,2016,F,6-7,205,July 17 1992,
Carmelo Anthony\anthoca01,2004,2019,F,6-8,240,May 29 1984,Syracuse University
Greg Anthony\anthogr01,1992,2002,G,6-0,176,November 15 1967,University of Portland University of Nevada Las Vegas
Joel Anthony\anthojo01,2008,2017,C,6-9,245,August 9 1982,University of Nevada Las Vegas
Pero Antic\anticpe01,2014,2015,C-F,6-11,260,July 29 1982,
OG Anunoby\anunoog01,2018,2019,F,6-8,232,July 17 1997,Indiana University
Keith Appling\applike01,2016,2016,G,6-1,185,February 13 1992,Michigan State University
Rafael Araujo\araujra01,2005,2007,C,6-11,280,August 12 1980,Brigham Young University
Stacey Arceneaux\arcenst01,1962,1962,F,6-4,210,February 17 1936,Iowa State University
Robert Archibald\archiro01,2003,2004,F,6-11,250,March 29 1980,University of Illinois at Urbana-Champaign
Tiny Archibald*\architi01,1971,1984,G,6-1,150,September 2 1948,University of Texas at El Paso
Ryan Arcidiacono\arcidry01,2018,2019,G,6-3,200,March 26 1994,Villanova University
Jim Ard\ardji01,1971,1978,F-C,6-8,215,September 19 1948,University of Cincinnati
Gilbert Arenas\arenagi01,2002,2012,G,6-3,191,January 6 1982,University of Arizona
Trevor Ariza\arizatr01,2005,2019,F,6-8,215,June 30 1985,University of California Los Angeles
Paul Arizin*\arizipa01,1951,1962,F-G,6-4,190,April 9 1928,Villanova University
Joe Arlauckas\arlaujo01,1988,1988,F,6-9,230,July 20 1965,Niagara University
B.J. Armstrong\armstbj01,1990,2000,G,6-2,175,September 9 1967,University of Iowa
Bob Armstrong\armstbo01,1957,1957,C-F,6-8,220,June 17 1933,Michigan State University
Brandon Armstrong\armstbr01,2002,2004,G,6-5,188,June 16 1980,Pepperdine University
Curly Armstrong\armstcu01,1949,1951,G-F,5-11,170,November 1 1918,Indiana University
Darrell Armstrong\armstda01,1995,2008,G,6-0,170,June 22 1968,Fayetteville State University
Hilton Armstrong\armsthi01,2007,2014,F-C,6-11,235,November 11 1984,University of Connecticut
Tate Armstrong\armstta01,1978,1979,G,6-3,175,October 5 1955,Duke University
Jesse Arnelle\arnelje01,1956,1956,F,6-5,220,December 30 1933,Pennsylvania State University
Jay Arnette\arnetja01,1964,1966,G,6-2,175,December 19 1938,University of Texas at Austin
Bob Arnzen\arnzebo01,1970,1974,F,6-5,205,November 3 1947,University of Notre Dame
Carlos Arroyo\arroyca01,2002,2011,G,6-2,202,July 30 1979,Florida International University
Darrell Arthur\arthuda01,2009,2018,F,6-9,235,March 25 1988,University of Kansas
John Arthurs\arthujo01,1970,1970,G,6-4,185,August 15 1947,Tulane University
Jamel Artis\artisja01,2018,2018,G-F,6-7,213,January 12 1993,University of Pittsburgh
Omer Asik\asikom01,2011,2018,C,7-0,255,July 4 1986,
Vincent Askew\askewvi01,1988,1998,G-F,6-6,210,February 28 1966,University of Memphis
Keith Askins\askinke01,1991,1999,G-F,6-7,197,December 15 1967,University of Alabama
Don Asmonga\asmondo01,1954,1954,G,6-2,185,February 15 1928,Alliance College
Dick Atha\athadi01,1956,1958,G,6-2,190,September 21 1931,Indiana State University
Chucky Atkins\atkinch01,2000,2010,G,5-11,160,August 14 1974,University of South Florida
Al Attles*\attleal01,1961,1971,G,6-0,175,November 7 1936,North Carolina Agricultural and Technical State University
Chet Aubuchon\aubucch01,1947,1947,G,5-10,137,May 18 1916,Michigan State University
Stacey Augmon\augmost01,1992,2006,F-G,6-8,205,August 1 1968,University of Nevada Las Vegas
D.J. Augustin\augusdj01,2009,2019,G,6-0,183,November 10 1987,University of Texas at Austin
James Augustine\augusja01,2007,2008,F,6-10,235,February 27 1984,University of Illinois at Urbana-Champaign
Isaac Austin\austiis01,1992,2002,C,6-10,255,August 18 1969,Arizona State University
Johnny Austin\austijo01,1967,1968,G,6-0,170,August 31 1944,Boston College
Ken Austin\austike01,1984,1984,F,6-9,205,July 15 1961,Rice University
Anthony Avent\aventan01,1993,2000,F,6-9,235,October 18 1969,Seton Hall University
Bird Averitt\averibi01,1974,1978,G,6-1,170,July 22 1952,Pepperdine University
William Avery\averywi01,2000,2002,G,6-2,197,August 8 1979,Duke University
Dennis Awtrey\awtrede01,1971,1982,C,6-10,235,February 22 1948,Santa Clara University
Gustavo Ayon\ayongu01,2012,2014,C,6-10,250,April 1 1985,
Jeff Ayres\pendeje02,2010,2016,F,6-9,240,April 29 1987,Arizona State University
Deandre Ayton\aytonde01,2019,2019,C,7-1,250,July 23 1998,University of Arizona
Kelenna Azubuike\azubuke01,2007,2012,G,6-5,220,December 16 1983,University of Kentucky
Chris Babb\babbch01,2014,2014,G,6-5,225,February 14 1990,Pennsylvania State University Iowa State University
Luke Babbitt\babbilu01,2011,2018,F,6-9,225,June 20 1989,University of Nevada Reno
Milos Babic\babicmi01,1991,1992,C-F,7-0,240,November 23 1968,Tennessee Technological University
Johnny Bach\bachjo01,1949,1949,F-G,6-2,180,July 10 1924,Fordham University
Dwayne Bacon\bacondw01,2018,2019,G,6-7,221,August 30 1995,Florida State University
Henry Bacon\baconhe01,1973,1973,G,6-3,205,July 5 1948,University of Louisville
Jim Baechtold\baechji01,1953,1957,F-G,6-4,205,December 9 1927,Eastern Kentucky University
Dalibor Bagaric\bagarda01,2001,2003,C,7-1,255,February 7 1980,
John Bagley\baglejo01,1983,1994,G,6-0,185,April 23 1960,Boston College
Marvin Bagley\baglema01,2019,2019,F,6-11,234,March 14 1999,Duke University
Carl Bailey\baileca01,1982,1982,C,7-0,210,April 23 1958,Tuskegee University
Gus Bailey\bailegu01,1975,1980,G-F,6-5,185,February 18 1951,University of Texas at El Paso
James Bailey\baileja01,1980,1988,F-C,6-9,220,May 21 1957,Rutgers University
Thurl Bailey\baileth01,1984,1999,F-C,6-11,215,April 7 1961,North Carolina State University
Toby Bailey\baileto01,1999,2000,G,6-6,213,November 19 1975,University of California Los Angeles
Cameron Bairstow\bairsca01,2015,2016,F-C,6-9,250,December 7 1990,University of New Mexico
Jimmie Baker\bakerji01,1976,1976,F,6-9,220,December 25 1953,University of Hawaii
LaMark Baker\bakerla01,1999,1999,G,6-1,175,November 11 1969,Ohio State University
Maurice Baker\bakerma01,2005,2005,G,6-1,175,July 28 1979,Oklahoma State University
Norm Baker\bakerno01,1947,1947,G,6-0,180,February 17 1923,
Ron Baker\bakerro01,2017,2019,G,6-4,220,March 30 1993,Wichita State University
Vin Baker\bakervi01,1994,2006,F,6-11,232,November 23 1971,University of Hartford
Wade Baldwin\baldwwa01,2017,2019,G,6-4,200,March 29 1996,Vanderbilt University
Renaldo Balkman\balkmre01,2007,2012,F,6-8,208,July 14 1984,University of South Carolina
Cedric Ball\ballce01,1991,1991,F,6-8,210,April 16 1968,University of North Carolina at Charlotte
Lonzo Ball\balllo01,2018,2019,G,6-6,190,October 27 1997,University of California Los Angeles
Greg Ballard\ballagr01,1978,1989,F,6-7,215,January 29 1955,University of Oregon
Herschel Baltimore\baltihe01,1947,1947,F,6-4,195,June 21 1921,Pennsylvania State University
Mohamed Bamba\bambamo01,2019,2019,C,7-0,221,May 12 1998,University of Texas at Austin
Gene Banks\banksge01,1982,1987,F-G,6-7,215,May 15 1959,Duke University
Marcus Banks\banksma01,2004,2011,G,6-2,200,November 19 1981,University of Nevada Las Vegas
Walker Banks\bankswa01,1971,1971,C,6-10,205,August 26 1947,Western Kentucky University
Ken Bannister\bannike01,1985,1991,F-C,6-9,235,April 1 1960,Indiana State University Saint Augustine's College
Mike Bantom\bantomi01,1974,1982,F-C,6-9,200,December 3 1951,Saint Joseph's University
John Barber\barbejo01,1957,1957,F,6-6,210,June 27 1927,California State University Los Angeles
Leandro Barbosa\barbole01,2004,2017,G,6-3,194,November 28 1982,
Steve Bardo\bardost01,1992,1996,G,6-5,190,April 5 1968,University of Illinois at Urbana-Champaign
J.J. Barea\bareajo01,2007,2019,G,6-0,185,June 26 1984,Northeastern University
Andrea Bargnani\bargnan01,2007,2016,F-C,7-0,245,October 26 1985,
Cliff Barker\barkecl01,1950,1952,G,6-2,185,January 15 1921,University of Kentucky
Tom Barker\barketo01,1977,1979,C-F,6-11,225,March 11 1955,University of Hawaii
Charles Barkley*\barklch01,1985,2000,F,6-6,252,February 20 1963,Auburn University
Erick Barkley\barkler01,2001,2002,G,6-1,177,February 21 1978,St. John's University
Don Barksdale*\barksdo01,1952,1955,F-C,6-6,200,March 31 1923,University of California Los Angeles
Harrison Barnes\barneha02,2013,2019,F,6-8,225,May 30 1992,University of North Carolina
Harry Barnes\barneha01,1969,1969,F,6-3,205,July 25 1945,Northeastern University
Jim Barnes\barneji01,1965,1971,C-F,6-8,210,April 13 1941,University of Texas at El Paso
Marvin Barnes\barnema01,1975,1980,F-C,6-8,210,July 27 1952,Providence College
Matt Barnes\barnema02,2004,2017,F,6-7,226,March 9 1980,University of California Los Angeles
Dick Barnett\barnedi01,1960,1974,G-F,6-4,190,October 2 1936,Tennessee State University
Jim Barnett\barneji02,1967,1977,G-F,6-4,170,July 7 1944,University of Oregon
Nathaniel Barnett\barnena01,1976,1976,G,6-3,175,January 29 1953,University of Akron
John Barnhill\barnhjo01,1963,1972,G,6-1,180,March 20 1938,Tennessee State University
Norton Barnhill\barnhno01,1977,1977,G,6-4,205,July 15 1953,Washington State University
Leo Barnhorst\barnhle01,1950,1954,F-G,6-4,190,May 11 1924,University of Notre Dame
John Barr\barrjo01,1947,1947,F,6-3,205,August 8 1918,Pennsylvania State University
Mike Barr\barrmi01,1973,1977,G,6-3,180,October 19 1950,Duquesne University
Moe Barr\barrmo01,1971,1971,G,6-4,195,June 19 1944,Duquesne University
Andre Barrett\barrean01,2005,2008,G,5-10,172,February 21 1982,Seton Hall University
Ernie Barrett\barreer01,1954,1956,G-F,6-3,180,August 27 1929,Kansas State University
Mike Barrett\barremi01,1970,1973,G,6-2,155,September 5 1943,West Virginia University Institute of Technology
Earl Barron\barroea01,2006,2015,C,7-0,250,August 14 1981,University of Memphis
Dana Barros\barroda01,1990,2004,G,5-11,163,April 13 1967,Boston College
Brent Barry\barrybr01,1996,2009,G,6-6,185,December 31 1971,Oregon State University
Drew Barry\barrydr01,1998,2000,G,6-5,191,February 17 1973,Georgia Institute of Technology
Jon Barry\barryjo01,1993,2006,G,6-4,195,July 25 1969,University of the Pacific Georgia Institute of Technology
Rick Barry*\barryri01,1966,1980,F,6-7,205,March 28 1944,University of Miami
Ed Bartels\barteed01,1950,1951,F,6-5,195,October 8 1925,North Carolina State University
Vic Bartolome\bartovi01,1972,1972,C,7-0,230,September 29 1948,Oregon State University
Will Barton\bartowi01,2013,2019,G,6-6,190,January 6 1991,University of Memphis
Eddie Basden\basdeed01,2006,2006,G,6-5,215,February 15 1983,University of North Carolina at Charlotte
Jerry Baskerville\baskeje01,1976,1976,F,6-7,190,November 10 1951,Temple University
Brandon Bass\bassbr01,2006,2017,F,6-8,250,April 30 1985,Louisiana State University
Tim Bassett\basseti01,1974,1980,F-C,6-8,225,April 1 1951,University of Georgia
Maceo Baston\bastoma01,2003,2009,F,6-9,215,May 29 1975,University of Michigan
Mengke Bateer\bateeme01,2002,2004,C,6-11,290,November 20 1975,
Billy Ray Bates\batesbi01,1980,1983,G,6-4,210,May 31 1956,Kentucky State University
Keita Bates-Diop\bateske01,2019,2019,F,6-9,229,January 23 1996,Ohio State University
Esteban Batista\batises01,2006,2007,F-C,6-10,270,September 2 1983,
Mike Batiste\batismi01,2003,2003,F,6-8,225,November 21 1977,Arizona State University
Tony Battie\battito01,1998,2012,C-F,6-11,230,February 11 1976,Texas Tech University
Shane Battier\battish01,2002,2014,F,6-8,220,September 9 1978,Duke University
John Battle\battljo01,1986,1995,G,6-2,175,November 9 1962,Rutgers University
Kenny Battle\battlke01,1990,1993,F,6-6,210,October 10 1964,Northern Illinois University University of Illinois at Urbana-Champaign
Dave Batton\battoda01,1983,1984,C,6-10,240,March 26 1956,University of Notre Dame
Lloyd Batts\battsll01,1975,1975,G-F,6-4,185,May 9 1951,University of Cincinnati
Nicolas Batum\batumni01,2009,2019,F-G,6-8,200,December 14 1988,
Johnny Baum\baumjo01,1970,1974,F,6-5,200,June 17 1946,Temple University
Frankie Baumholtz\baumhfr01,1947,1947,G,5-10,170,October 7 1918,Ohio University
Lonny Baxter\baxtelo01,2003,2006,F,6-8,260,January 27 1979,University of Maryland
Jerryd Bayless\bayleje01,2009,2019,G,6-3,200,August 20 1988,University of Arizona
Elgin Baylor*\bayloel01,1959,1972,F,6-5,225,September 16 1934,Albertson College of Idaho Seattle University
Howard Bayne\bayneho01,1968,1968,F,6-6,235,July 28 1942,University of Tennessee
Aron Baynes\baynear01,2013,2019,C,6-10,260,December 9 1986,Washington State University
Sergei Bazarevich\bazarse01,1995,1995,G,6-2,168,March 16 1965,
Kent Bazemore\bazemke01,2013,2019,G-F,6-5,201,July 1 1989,Old Dominion University
Ed Beach\beached01,1951,1951,F,6-3,200,January 25 1929,West Virginia University
Bradley Beal\bealbr01,2013,2019,G,6-5,207,June 28 1993,University of Florida
Al Beard\beardal01,1968,1968,C,6-9,200,April 27 1942,Norfolk State University
Butch Beard\beardbu01,1970,1979,G,6-3,185,May 4 1947,University of Louisville
Ralph Beard\beardra01,1950,1951,G,5-10,175,December 2 1927,University of Kentucky
Charles Beasley\beaslch01,1968,1971,G-F,6-5,190,September 23 1945,Southern Methodist University
Jerome Beasley\beaslje01,2004,2004,F,6-10,237,May 17 1980,Midland College University of North Dakota
John Beasley\beasljo01,1968,1974,F-C,6-9,225,February 5 1944,Texas A&M University
Malik Beasley\beaslma01,2017,2019,G,6-5,195,November 26 1996,Florida State University
Michael Beasley\beaslmi01,2009,2019,F,6-9,235,January 9 1989,Kansas State University
Zelmo Beaty*\beatyze01,1963,1975,C,6-9,225,October 25 1939,Prairie View A&M University
Rodrigue Beaubois\beaubro01,2010,2013,G,6-0,170,February 24 1988,
Byron Beck\beckby01,1968,1977,C-F,6-9,225,January 25 1945,University of Denver
Corey Beck\beckco01,1996,1999,G,6-1,190,May 27 1971,South Plains College University of Arkansas
Ernie Beck\becker01,1954,1961,G-F,6-4,190,December 11 1931,University of Pennsylvania
Arthur Becker\beckear01,1968,1973,F,6-7,205,January 12 1942,Arizona State University
Moe Becker\beckemo01,1947,1947,G-F,6-1,185,February 24 1917,Duquesne University
Bob Bedell\bedelbo01,1968,1971,F,6-7,205,June 26 1944,Stanford University
William Bedford\bedfowi01,1987,1993,C,7-0,225,December 14 1963,University of Memphis
Hank Beenders\beendha01,1947,1949,C-F,6-6,185,June 2 1916,Long Island University
Ron Behagen\behagro01,1974,1980,F-C,6-9,185,January 14 1951,University of Minnesota
Elmer Behnke\behnkel01,1952,1952,C,6-7,210,February 3 1929,Bradley University
Marco Belinelli\belinma01,2008,2019,G-F,6-5,210,March 25 1986,
Charlie Bell\bellch01,2002,2011,G,6-3,200,March 12 1979,Michigan State University
Dennis Bell\bellde01,1974,1976,F,6-5,185,June 2 1951,Drake University
Jordan Bell\belljo01,2018,2019,F,6-9,224,January 7 1995,University of Oregon
Raja Bell\bellra01,2001,2012,G,6-5,204,September 19 1976,Boston University Florida International University
Troy Bell\belltr01,2004,2004,G,6-1,180,November 10 1980,Boston College
Whitey Bell\bellwh01,1960,1961,G,6-0,180,September 13 1932,North Carolina State University
Walt Bellamy*\bellawa01,1962,1975,C,6-11,225,July 24 1939,Indiana University
DeAndre' Bembry\bembrde01,2017,2019,F,6-6,210,July 4 1994,Saint Joseph's University
Irv Bemoras\bemorir01,1954,1957,F-G,6-3,185,November 18 1930,University of Illinois at Urbana-Champaign
Leon Benbow\benbole01,1975,1976,G,6-4,185,July 23 1950,Jacksonville University
Dragan Bender\bendedr01,2017,2019,F,7-1,225,November 17 1997,
Jonathan Bender\bendejo01,2000,2010,F,6-11,202,January 30 1981,
Jerrelle Benimon\benimje01,2015,2015,F,6-8,245,August 1 1991,Georgetown University Towson University
Benoit Benjamin\benjabe01,1986,2000,C,7-0,250,November 22 1964,Creighton University
Corey Benjamin\benjaco01,1999,2003,G,6-6,200,February 24 1978,Oregon State University
Anthony Bennett\bennean01,2014,2017,F,6-8,245,March 14 1993,University of Nevada Las Vegas
Elmer Bennett\benneel01,1995,1997,G,6-0,170,February 13 1970,University of Notre Dame
Mario Bennett\bennema01,1996,2000,F,6-6,235,August 1 1973,Arizona State University
Mel Bennett\benneme01,1976,1982,F,6-7,200,January 4 1955,University of Pittsburgh
Spider Bennett\bennesp01,1969,1969,G,6-3,190,August 4 1943,Winston-Salem State University
Tony Bennett\benneto01,1993,1995,G,6-0,175,June 1 1969,University of Wisconsin-Green Bay
Winston Bennett\bennewi01,1990,1992,F,6-7,210,February 9 1965,University of Kentucky
David Benoit\benoida01,1992,2001,F,6-8,220,May 9 1968,University of Alabama
Keith Benson\bensoke02,2012,2012,C,6-11,240,August 13 1988,Oakland University
Kent Benson\bensoke01,1978,1988,C,6-10,235,December 27 1954,Indiana University
Ben Bentil\bentibe01,2017,2017,F,6-9,235,March 29 1995,Providence College
Gene Berce\bercege01,1950,1950,G-F,5-11,175,November 22 1926,Marquette University
Gary Bergen\bergega01,1957,1957,C,6-8,210,July 16 1932,University of Utah
Larry Bergh\berghla01,1970,1970,F,6-8,210,April 2 1945,Weber State University
Ricky Berry\berryri01,1989,1989,F,6-8,205,October 6 1964,Oregon State University San Jose State University
Walter Berry\berrywa01,1987,1989,F,6-8,215,May 14 1964,St. John's University
Dairis Bertans\bertada02,2019,2019,G,6-4,200,September 9 1989,
Davis Bertans\bertada01,2017,2019,F,6-10,225,November 12 1992,
Del Beshore\beshode01,1979,1980,G,5-11,165,November 29 1956,California University of Pennslyvania
Travis Best\besttr01,1996,2005,G,5-11,182,July 12 1972,Georgia Institute of Technology
Patrick Beverley\beverpa01,2013,2019,G,6-1,185,July 12 1988,University of Arkansas
Sim Bhullar\bhullsi01,2015,2015,C,7-5,360,December 2 1992,New Mexico State University
